symbol,company_name,basic_industry,listing_date
SGMART,SG Mart,Trading - Metals,2025-09-12
TIGERLOGS,Tiger Logistics,Logistics Solution Provider,2025-09-18
MWL,Mangalam World.,Trading - Metals,2025-09-18
RHETAN,Rhetan TMT Ltd,Iron & Steel Products,2025-09-26
SAATVIKGL,Saatvik Green,Other Electrical Equipment,2025-09-26
FINKURVE,Finkurve Fin.,Non Banking Financial Company (NBFC),2025-10-01
SYSTMTXC,Systematix Corp.,Stockbroking & Allied,2025-10-06
TATACAP,Tata Capital,Non Banking Financial Company (NBFC),2025-10-13
MARKOLINES,Markolines Pavem,Civil Construction,2025-10-14
MONEYBOXX,Moneyboxx Fin.,Non Banking Financial Company (NBFC),2025-10-15
CANHLIFE,Canara HSBC,Life Insurance,2025-10-17
PIRAMALFIN,Piramal Finance.,Housing Finance Company,2025-11-07
TMCV,Tata Motors,Commercial Vehicles,2025-11-12
ADVENTHTL,Advent Hotels,Hotels & Resorts,2025-11-13
